system:time_start,undefined
1-Jun-07,281.774
1-Jul-07,285.695
1-Aug-07,285.243
1-Sep-07,279.692
1-Oct-07,276.088
1-Nov-07,273.898
1-Dec-07,268.07
1-Jan-08,268.017
1-Feb-08,269.526
1-Mar-08,270.645
1-Apr-08,272.523
1-May-08,277.383
1-Jun-08,281.599
1-Jul-08,285.402
1-Aug-08,285.412
1-Sep-08,282.167
1-Oct-08,277.139
1-Nov-08,274.616
1-Dec-08,268.749
1-Jan-09,270.776
1-Feb-09,269.316
1-Mar-09,269.853
1-Apr-09,272.382
1-May-09,279.681
1-Jun-09,280.05
1-Jul-09,285.219
1-Aug-09,283.81
1-Sep-09,282.576
1-Oct-09,275.461
1-Nov-09,272.606
1-Dec-09,268.174
1-Jan-10,270.577
1-Feb-10,270.398
1-Mar-10,270.154
1-Apr-10,271.082
1-May-10,273.944
1-Jun-10,281.012
1-Jul-10,284.947
1-Aug-10,282.81
1-Sep-10,281.446
1-Oct-10,277.498
1-Nov-10,271.127
1-Dec-10,271.068
1-Jan-11,269.791
1-Feb-11,266.727
1-Mar-11,269.67
1-Apr-11,271.506
1-May-11,273.746
1-Jun-11,278.887
1-Jul-11,283.002
1-Aug-11,283.406
1-Sep-11,282.483
1-Oct-11,277.027
1-Nov-11,270.943
1-Dec-11,268.51
1-Jan-12,270.427
1-Feb-12,268.636
1-Mar-12,269.755
1-Apr-12,273.315
1-May-12,277.051
1-Jun-12,279.949
1-Jul-12,283.556
1-Aug-12,285.623
1-Sep-12,282.48
1-Oct-12,277.131
1-Nov-12,273.68
1-Dec-12,268.815
1-Jan-13,267.648
1-Feb-13,267.833
1-Mar-13,272.366
1-Apr-13,274.049
1-May-13,277.017
1-Jun-13,281.835
1-Jul-13,285.648
1-Aug-13,283.118
1-Sep-13,280.454
1-Oct-13,275.188
1-Nov-13,273.346
1-Dec-13,268.809
1-Jan-14,272.857
1-Feb-14,271.788
1-Mar-14,272.681
1-Apr-14,274.694
1-May-14,278.157
1-Jun-14,282.379
1-Jul-14,286.513
1-Aug-14,284.337
1-Sep-14,282.476
1-Oct-14,278.96
1-Nov-14,274.294
1-Dec-14,271.262
1-Jan-15,272.76
1-Feb-15,274.222
1-Mar-15,274.854
1-Apr-15,274.033
1-May-15,277.176
1-Jun-15,284.232
1-Jul-15,284.238
1-Aug-15,285.07
1-Sep-15,283.155
1-Oct-15,279.665
1-Nov-15,270.165
1-Dec-15,268.365
1-Jan-16,269.873
1-Feb-16,271.888
1-Mar-16,272.807
1-Apr-16,275.013
1-May-16,277.519
1-Jun-16,283.195
1-Jul-16,285.148
1-Aug-16,285.265
1-Sep-16,281.224
1-Oct-16,277.275
1-Nov-16,273.851
1-Dec-16,269.806
1-Jan-17,268.816
1-Feb-17,270.477
1-Mar-17,272.824
1-Apr-17,273.637
1-May-17,278.005
1-Jun-17,282.823
1-Jul-17,286.685
1-Aug-17,286.347
1-Sep-17,281.136
1-Oct-17,277.125
1-Nov-17,274.44
1-Dec-17,272.015
1-Jan-18,272.588
1-Feb-18,268.711
1-Mar-18,270.368
1-Apr-18,274.139
1-May-18,278.167
1-Jun-18,282.147
1-Jul-18,287.115
1-Aug-18,284.997
1-Sep-18,282.15
1-Oct-18,276.789
1-Nov-18,274.003
1-Dec-18,270.011
1-Jan-19,270.895
1-Feb-19,266.139
1-Mar-19,270.57
1-Apr-19,275.231
1-May-19,275.605
1-Jun-19,281.937
1-Jul-19,284.261
1-Aug-19,285.019
1-Sep-19,280.708
1-Oct-19,275.249
1-Nov-19,273.952
1-Dec-19,270.603
