system:time_start,undefined
1-Jun-07,1.467
1-Jul-07,1.842
1-Aug-07,1.817
1-Sep-07,1.183
1-Oct-07,0.763
1-Nov-07,0.704
1-Dec-07,0.328
1-Jan-08,0.295
1-Feb-08,0.433
1-Mar-08,0.534
1-Apr-08,0.71
1-May-08,0.918
1-Jun-08,1.568
1-Jul-08,1.827
1-Aug-08,1.904
1-Sep-08,1.688
1-Oct-08,1.07
1-Nov-08,0.592
1-Dec-08,0.393
1-Jan-09,0.552
1-Feb-09,0.351
1-Mar-09,0.457
1-Apr-09,0.684
1-May-09,1.114
1-Jun-09,1.032
1-Jul-09,1.955
1-Aug-09,1.724
1-Sep-09,1.656
1-Oct-09,0.751
1-Nov-09,0.638
1-Dec-09,0.33
1-Jan-10,0.36
1-Feb-10,0.349
1-Mar-10,0.493
1-Apr-10,0.472
1-May-10,0.602
1-Jun-10,1.103
1-Jul-10,1.747
1-Aug-10,1.633
1-Sep-10,1.625
1-Oct-10,0.728
1-Nov-10,0.496
1-Dec-10,0.33
1-Jan-11,0.455
1-Feb-11,0.355
1-Mar-11,0.335
1-Apr-11,0.466
1-May-11,0.604
1-Jun-11,0.924
1-Jul-11,1.393
1-Aug-11,1.627
1-Sep-11,1.524
1-Oct-11,0.861
1-Nov-11,0.466
1-Dec-11,0.481
1-Jan-12,0.553
1-Feb-12,0.433
1-Mar-12,0.422
1-Apr-12,0.64
1-May-12,1.065
1-Jun-12,1.346
1-Jul-12,1.73
1-Aug-12,2.083
1-Sep-12,1.774
1-Oct-12,1.079
1-Nov-12,0.627
1-Dec-12,0.285
1-Jan-13,0.413
1-Feb-13,0.446
1-Mar-13,0.615
1-Apr-13,0.757
1-May-13,0.959
1-Jun-13,1.509
1-Jul-13,1.892
1-Aug-13,1.561
1-Sep-13,1.199
1-Oct-13,0.97
1-Nov-13,0.67
1-Dec-13,0.516
1-Jan-14,0.707
1-Feb-14,0.468
1-Mar-14,0.589
1-Apr-14,0.798
1-May-14,1.084
1-Jun-14,1.609
1-Jul-14,1.84
1-Aug-14,1.532
1-Sep-14,1.439
1-Oct-14,1.16
1-Nov-14,0.655
1-Dec-14,0.28
1-Jan-15,0.569
1-Feb-15,0.668
1-Mar-15,0.782
1-Apr-15,0.737
1-May-15,0.754
1-Jun-15,1.654
1-Jul-15,1.444
1-Aug-15,1.853
1-Sep-15,1.624
1-Oct-15,0.97
1-Nov-15,0.45
1-Dec-15,0.3
1-Jan-16,0.306
1-Feb-16,0.639
1-Mar-16,0.469
1-Apr-16,0.655
1-May-16,0.771
1-Jun-16,1.517
1-Jul-16,1.866
1-Aug-16,1.893
1-Sep-16,1.443
1-Oct-16,0.756
1-Nov-16,0.612
1-Dec-16,0.389
1-Jan-17,0.293
1-Feb-17,0.345
1-Mar-17,0.599
1-Apr-17,0.579
1-May-17,0.907
1-Jun-17,1.407
1-Jul-17,1.904
1-Aug-17,1.699
1-Sep-17,1.22
1-Oct-17,1.129
1-Nov-17,0.518
1-Dec-17,0.735
1-Jan-18,0.493
1-Feb-18,0.518
1-Mar-18,0.394
1-Apr-18,0.677
1-May-18,0.785
1-Jun-18,1.465
1-Jul-18,1.883
1-Aug-18,1.888
1-Sep-18,1.659
1-Oct-18,0.865
1-Nov-18,0.737
1-Dec-18,0.391
1-Jan-19,0.42
1-Feb-19,0.23
1-Mar-19,0.388
1-Apr-19,0.669
1-May-19,0.594
1-Jun-19,1.206
1-Jul-19,1.559
1-Aug-19,1.76
1-Sep-19,1.276
1-Oct-19,1.028
1-Nov-19,0.872
1-Dec-19,0.281
